ID,TITLE,PRICE,BRAND,STRING_CONGIGURATION,MODEL_YEAR,SHIPPING_NUM,SELLER_NUM
304061831083,Bacchus T-Standard /Oil 105899,"3,646.63",bacchus,na,na,1,1
304061831007,Edwards E-Ex-160E Ed153037,"5,212.75",edwards,na,na,1,1
304061830805,Prs Custom24/2014 214800,"12,758.30",prs,na,na,1,1
304061830917,Psychederhythm Standard-T Limited,"7,499.68",psychederhythm,na,na,1,1
184936339236,quier stratocaster,,squie,,,2,2
304061830997,Schecter Sd-2-24-As-Vtr-Sp/Ogr/M S2010044,"5,461.76",schecter,na,na,1,1
265226828328,Irongear Pickups Official Shirt xx,,iron,,,3,3
184936333470,quier stratocaster,,squie,,,2,2
255049704404,n Electric Guitar,"1,178.43",dean,,,4,4
114887683392,AG Custom Guitars left handed telecaster,"1,495.69",unbranded,6,2021,5,5
164954461156,Swamp Ash Telecaster Electric guitar In Butterscotch. Low action,"1,087.78",unbranded,6,,6,6
224530420079,Gamble Guitars Telecaster - Spaderocker Kinman Pickup,,gamble,,,7,7
265226942252,EPIPHONE LES PAUL DELUXE,"3,407.46",epiphone,6,2001,8,8
304061831034,H.S.Anderson Hs-6 10058,"4,793.37",h.s.anderson,na,na,1,1
304061831009,Fender Mexico Classic Series 50S Esquire Mx12298593,"4,793.37",fender,na,na,1,1
304061830880,Fender Limited Edition Rarities Flame Le07702,"8,502.26",fender,na,na,1,1
304061830891,Esp Horizon Ctm Order Specifications 24059522,"7,709.37",esp,na,na,1,1
265226191399,Fender Mexican Standard Stratocaster Sunburst Locking Tuners Maple Neck,"2,039.54",fender,6,,9,9
304061830957,Fujigen Electric Guitar Component Fgn Expert Os/Qm/Wb J121235,"6,683.86",fujigen,na,na,1,1
363464990022,Yamaha RGZ621P Rare Electric Guitar,,yamaha,6,,10,10
224530466964,1971 Fender Stratocaster Neck 4-bolt Maple Vintage 1969 1970,"11,464.13",fender,,,11,11
265226181894,Squier by Fender Strat Tom Delonge Style Seymour Duncan SH-4  JB Trembucker,770.46,squier,6,,12,9
174835767020,80's BC RICH / KRAMER CUSTOM SHRED STR*T,"2,909.44",hybri,,,13,12
174835767020,80's BC RICH / KRAMER CUSTOM SHRED STR*T,"2,909.44",hybri,,,13,12
194236552814,EASTWOOD Bill Nelson Astroluxe Cadet DLX B electric guitar bigsby NEAR MINT,"5,212.27",eastwood,6,2019/20,15,13
373645971053,Fender Japan TC72 Telecaster Custom Black Made in Japan,"2,883.20",fender,6,,16,14
224530492970,1971 Fender Stratocaster Telecaster Neck P,815.82,fende,,,17,11
284367793962,Green Telecaster Partcaster Electric Guitar (Francis Rossi project?!),901.95,partcaster,,,18,15
304062855577,MIJ HYBRID 60S TELECASTER AWT,"3,961.17",mij,6,unknown,19,16
304062855577,MIJ HYBRID 60S TELECASTER AWT,"3,961.17",mij,6,unknown,19,16
304062848650,EVH WOLFGANG SPECIAL Natural Map,"5,795.95",evh,6,unknown,19,16
224530490448,1971 Fender Stratocaster pickguard plastic vintage 1970 1969,"1,962.56",fender,,,17,11
304062845991,SQUIER JAGUAR BASS,"1,539.91",squier,4,unknown,19,16
144109820859,Handmade Relic Vintage Sunburst Acepro Semi Hollow Body Jazz Electric Guitar,"1,081.21",acepro,6,2021,20,17
194236668254,E-Gitarre Yamaha Sg,"6,262.22",,,,21,18
304062841973,EPIPHONE EMPEROR Sunbur,"2,994.63",epiphone,4,unknown,19,16
304062834977,FENDER USA Jazz Bass Black,"6,464.34",fender,4,unknown,22,16
124807229753,80's ROBIN RAIDER - RAMONES STYLE,"2,768.56",robi,,,13,19
304061830953,E-Ii M-Ii Neck Thru Es9353183,"6,683.86",e-ii,na,na,1,1
304061831002,Gretsch G5655Tg Cygc20040203,"5,212.75",gretsch,na,na,1,1
304062852056,FENDER USA AM STANDARD JAZZ BASS UPGRADE,"6,231.71",fender,4,unknown,22,16
174835859380,"NEW-Peerless Jezebel Electric Guitar Midnight Blue Peerless Hard Case,key,Strap",,peerless,6,,23,20
194236700031,Gretcsh Electromatic Rat Rod Hollow Body G5410,"1,634.92",gretsch,6,202,24,21
194236700031,Gretcsh Electromatic Rat Rod Hollow Body G5410,"1,634.92",gretsch,6,202,24,21
224530498859,1971 Fender Stratoocaster Pickup Cover set vintage covers 1969 1970,652.00,fender,,,17,11
255049950599,Stratocaster Shell Pink Fully Nitro Paint Heavy Relic Rosewood neck Great Player,"2,039.58",greenwaterrelics,6,2021,25,22
144109739427,Electric guitar. Schecter Blackjack Diamond Series. Great condition,"1,961.12",schecter,,,26,23
124807229781,80's KRAMER PACER SPECIAL - made in USA,"4,423.14",kramer,,,13,12
304061830852,Jackson Landy Rr1Tf U26514,"10,353.43",jackson,na,na,1,1
304061830821,Momose Electric Guitar Mst-2 Skr Prm 6651,"11,139.76",momose,na,na,1,1
