NAME,POSITIVE_FEEDBACK,MEMBER_SINCE,LOCATION,ITEMS_FOR_SELL
n96,98.3,"May 29, 2020",Japan,9919
dgerk1977,100,"Jun 03, 2005",United Kingdom,2
ljazman,100,"Mar 16, 2005",United Kingdom,5
ilofleabag_9,100,"Aug 08, 2017",United Kingdom,2
gnd,100,"Mar 14, 2001",United Kingdom,4
992,99.6,"Apr 26, 2017",United Kingdom,2
ithroversf,100,"Nov 21, 2003",United Kingdom,1
1zeal,100,"Nov 17, 1999",United States,1
ing,100,"Jan 11, 2013",United Kingdom,6
ja505,100,"Dec 09, 2004",United States,39
destyfell,100,"Nov 25, 2007",United States,6
ic-outlet-,100,"Aug 25, 2003",Germany,2995
ngle42,100,"Jul 16, 2001",United Kingdom,6
luna_k,100,"Mar 31, 2021",Japan,163
jorn_again,100,"Mar 30, 2002",United Kingdom,3
i,99.4,"Nov 08, 2016",Japan,4540
gui,100,"Nov 19, 2017",China,121
k.moci,97.8,"Apr 13, 2019",Japan,1319
ic-outlet-,100,"Aug 25, 2003",Germany,2993
jdstoyz1516,100,"Dec 01, 2008",United States,82
kcrizz,100,"Sep 10, 2003",United States,1
greenwatergui,100,"Sep 20, 2014",United Kingdom,1
n_4018,,"Jun 12, 2019",Australia,9
n96,98.3,"May 29, 2020",Japan,9919
ntdamoni,100,"Jun 29, 2020",United States,67
icey87,100,"Jan 05, 2008",Australia,2
i,99.4,"Nov 08, 2016",Japan,4540
ike.artist63,100,"Apr 02, 2014",United Kingdom,2
ic-outlet-,100,"Aug 25, 2003",Germany,2995
japanese-d,88.9,"Nov 27, 2016",Japan,3982
nag_0,99,"Oct 11, 2018",Japan,7761
l,100,"Sep 27, 2005",United Kingdom,23
l,100,"Sep 27, 2005",United Kingdom,24
gar_pan,100,"Apr 12, 2015",United States,20
1313,100,"Mar 11, 2001",United States,6
kiyomizu.music-,100,"Feb 15, 2017",Japan,11027
li-ol-rnhtzxml,100,"Dec 24, 2016",Luxembourg,6
gurikuu-jpsound,100,"Feb 27, 2011",Japan,539
ic-outlet-,100,"Aug 25, 2003",Germany,2993
lvlg5220,100,"Nov 24, 2020",China,9
zacharholde_7,94.7,"Jul 07, 2017",United Kingdom,4
nyzakk,100,"Dec 16, 2005",Italy,3
jpinstrumental*,100,"Nov 11, 2009",Japan,1179
ing,100,"Aug 12, 2006",United States,4
kis2893,100,"Dec 06, 2019",Japan,5307
nancye7005,100,"Oct 19, 2005",United States,5
ichael_,99.1,"Nov 17, 2006",United States,195
zz529,100,"Nov 15, 2013",France,2
java21,100,"May 26, 2015",United Kingdom,11
lthazar2401,100,"Aug 26, 2003",United Kingdom,1
-tech1960,99,"Dec 19, 2009",United States,38
nsunaf,,"Jan 08, 2003",Portugal,16
n96,98.3,"May 29, 2020",Japan,9919
new-japan2021,99.6,"Jun 01, 2020",Japan,13539
jorn_again,100,"Mar 30, 2002",United Kingdom,3
japanese-d,88.9,"Nov 27, 2016",Japan,3989
isii-japan,98.2,"Feb 06, 2008",Japan,15441
kyo-japan-musi,100,"Jun 16, 2020",Japan,647
ic-outlet-,100,"Aug 25, 2003",Germany,2995
9096,100,"Apr 22, 2019",United Kingdom,17
japanese-d,88.9,"Nov 27, 2016",Japan,3990
jinsatan400,95.2,"Apr 10, 2012",Japan,3437
kapacka2000,99.4,"Jul 12, 2001",United Kingdom,19
kiyomizu.music-,100,"Feb 15, 2017",Japan,11025
k.moci,97.8,"Apr 13, 2019",Japan,1318
_global_villag,99,"May 18, 2020",Israel,5794
ic-outlet-,100,"Aug 25, 2003",Germany,2993
dimeback-516,99.4,"Sep 12, 2016",Japan,7433
isii-japan,98.2,"Feb 06, 2008",Japan,15447
-japan,97.9,"May 17, 2018",Japan,8431
n96,98.3,"May 29, 2020",Japan,9919
ic-outlet-,100,"Aug 25, 2003",Germany,2995
nag_0,99,"Oct 11, 2018",Japan,9
i,99.4,"Nov 08, 2016",Japan,4539
japan,100,"Feb 24, 2008",Japan,35777
k.moci,97.8,"Apr 13, 2019",Japan,1312
japan-product-,98.6,"Sep 16, 2017",Japan,77618
japanese-d,88.9,"Nov 27, 2016",Japan,3989
isii-japan,98.2,"Feb 06, 2008",Japan,15441
nag_0,99,"Oct 11, 2018",Japan,7761
japanese-d,88.9,"Nov 27, 2016",Japan,3987
new-japan2021,99.6,"Jun 01, 2020",Japan,13539
japanese-d,88.9,"Nov 27, 2016",Japan,3986
disney-dream-,97.6,"Dec 11, 2018",Japan,11969
isii-japan,98.2,"Feb 06, 2008",Japan,15447
ic-outlet-,100,"Aug 25, 2003",Germany,2993
japanese-d,88.9,"Nov 27, 2016",Japan,3985
-japan,97.9,"May 17, 2018",Japan,8431
